invocation_id,job_id,job_name,job_run_id,run_started_at,run_completed_at,generated_at,created_at,command,dbt_version,elementary_version,full_refresh,invocation_vars,vars,target_name,target_database,target_schema,target_profile_name,threads,selected,yaml_selector,project_id,project_name,env,env_id,cause_category,cause,pull_request_id,git_sha,orchestrator,dbt_user,job_url,job_run_url,account_id,target_adapter_specific_fields
eeb13437-e15d-430a-970b-8b52f5e995dd,,,,2024-02-14 12:14:36,2024-02-14 12:15:02,2024-02-14 12:15:02,2024-02-14 12:15:03.014664,run,1.7.5,0.13.0,false,{},"{""limit_accounts_table"": 20, ""limit_groups_table"": 10, ""limit_transactions_tables"": 100}",dbt_run_local,postgres,transformed,local_db,8,[],,,dbt_chatGPT_suggestion,,,,,,,,,,,,"{""user"": ""postgres""}"
7076df6c-fdec-4654-bde3-33ad3b78e1b5,,,,2024-02-14 12:15:55,2024-02-14 12:16:21,2024-02-14 12:16:21,2024-02-14 12:16:21.359500,run,1.7.5,0.13.0,false,{},"{""limit_accounts_table"": 20, ""limit_groups_table"": 10, ""limit_transactions_tables"": 100}",dbt_run_local,postgres,transformed,local_db,8,[],,,dbt_chatGPT_suggestion,,,,,,,,,,,,"{""user"": ""postgres""}"
6480869e-601e-4e75-95ce-846a06a955ab,,,,2024-02-14 12:17:33,2024-02-14 12:18:03,2024-02-14 12:18:03,2024-02-14 12:18:03.129506,run,1.7.5,0.13.0,false,{},"{""limit_accounts_table"": 20, ""limit_groups_table"": 10, ""limit_transactions_tables"": 100}",dbt_run_local,postgres,transformed,local_db,8,[],,,dbt_chatGPT_suggestion,,,,,,,,,,,,"{""user"": ""postgres""}"
7522128c-52c7-458f-8adb-47050b76a514,,,,2024-02-14 12:18:31,2024-02-14 12:18:36,2024-02-14 12:18:36,2024-02-14 12:18:36.169122,run,1.7.5,0.13.0,false,{},"{""limit_accounts_table"": 20, ""limit_groups_table"": 10, ""limit_transactions_tables"": 100}",dbt_run_local,postgres,transformed,local_db,8,"[""view_selection_tool""]",,,dbt_chatGPT_suggestion,,,,,,,,,,,,"{""user"": ""postgres""}"
65cca4d0-fe4b-46d9-b081-ff5a2ecc0144,,,,2024-02-14 12:47:52,2024-02-14 12:48:17,2024-02-14 12:48:17,2024-02-14 12:48:17.906153,run,1.7.5,0.13.0,false,{},"{""limit_accounts_table"": 20, ""limit_groups_table"": 10, ""limit_transactions_tables"": 100}",dbt_run_local,postgres,transformed,local_db,8,[],,,dbt_chatGPT_suggestion,,,,,,,,,,,,"{""user"": ""postgres""}"
628ad639-c1ea-4a4f-a30f-3454180cd78a,,,,2024-02-14 12:48:35,2024-02-14 12:48:41,2024-02-14 12:48:41,2024-02-14 12:48:41.604435,run,1.7.5,0.13.0,false,{},"{""limit_accounts_table"": 20, ""limit_groups_table"": 10, ""limit_transactions_tables"": 100}",dbt_run_local,postgres,transformed,local_db,8,"[""view_selection_tool""]",,,dbt_chatGPT_suggestion,,,,,,,,,,,,"{""user"": ""postgres""}"
12be6363-58c0-4267-9a47-02cf9bef02cb,,,,2024-02-14 12:52:15,2024-02-14 12:52:41,2024-02-14 12:52:41,2024-02-14 12:52:42.108396,run,1.7.5,0.13.0,false,{},"{""limit_accounts_table"": 20, ""limit_groups_table"": 10, ""limit_transactions_tables"": 100}",dbt_run_local,postgres,transformed,local_db,8,[],,,dbt_chatGPT_suggestion,,,,,,,,,,,,"{""user"": ""postgres""}"
026fed2b-a4c7-4ab3-8326-67a64b8ec578,,,,2024-02-15 12:57:55,2024-02-15 12:58:21,2024-02-15 12:58:21,2024-02-15 12:58:21.481352,run,1.7.5,0.13.0,false,{},"{""limit_accounts_table"": 30, ""limit_groups_table"": 10, ""limit_transactions_tables"": 100}",dbt_run_local,postgres,transformed,local_db,8,[],,,dbt_chatGPT_suggestion,,,,,,,,,,,,"{""user"": ""postgres""}"
e45ef96a-a832-407e-898c-7c35f393c3fb,,,,2024-02-15 12:58:32,2024-02-15 12:58:37,2024-02-15 12:58:37,2024-02-15 12:58:37.216822,run,1.7.5,0.13.0,false,{},"{""limit_accounts_table"": 30, ""limit_groups_table"": 10, ""limit_transactions_tables"": 100}",dbt_run_local,postgres,transformed,local_db,8,"[""view_selection_tool""]",,,dbt_chatGPT_suggestion,,,,,,,,,,,,"{""user"": ""postgres""}"
eb449906-16f9-4aa6-a5bd-e691063f1810,,,,2024-02-15 13:20:53,2024-02-15 13:21:04,2024-02-15 13:21:04,2024-02-15 13:21:04.708724,run,1.7.5,0.13.0,false,{},"{""limit_accounts_table"": 30, ""limit_groups_table"": 10, ""limit_transactions_tables"": 100}",dbt_run_local,postgres,transformed,local_db,8,"[""view_selection_tool""]",,,dbt_chatGPT_suggestion,,,,,,,,,,,,"{""user"": ""postgres""}"
99f22575-c179-4dc2-8bcc-cf682586e8d3,,,,2024-02-15 13:21:35,2024-02-15 13:21:41,2024-02-15 13:21:41,2024-02-15 13:21:41.451663,run,1.7.5,0.13.0,false,{},"{""limit_accounts_table"": 30, ""limit_groups_table"": 10, ""limit_transactions_tables"": 100}",dbt_run_local,postgres,transformed,local_db,8,"[""view_selection_tool""]",,,dbt_chatGPT_suggestion,,,,,,,,,,,,"{""user"": ""postgres""}"
23c0c2c0-785f-4f68-b5a6-ba5f141464b0,,,,2024-02-15 13:22:35,2024-02-15 13:22:40,2024-02-15 13:22:40,2024-02-15 13:22:40.838000,run,1.7.5,0.13.0,false,{},"{""limit_accounts_table"": 30, ""limit_groups_table"": 10, ""limit_transactions_tables"": 100}",dbt_run_local,postgres,transformed,local_db,8,"[""view_selection_tool""]",,,dbt_chatGPT_suggestion,,,,,,,,,,,,"{""user"": ""postgres""}"
c4da474a-11fa-49cb-a0ed-4534766b88a9,,,,2024-02-15 15:29:49,2024-02-15 15:30:03,2024-02-15 15:30:03,2024-02-15 15:30:03.104461,run,1.7.5,0.13.0,false,{},"{""limit_accounts_table"": 30, ""limit_groups_table"": 10, ""limit_transactions_tables"": 100}",dbt_run_local,postgres,transformed,local_db,8,"[""view_selection_tool""]",,,dbt_chatGPT_suggestion,,,,,,,,,,,,"{""user"": ""postgres""}"
